Price,Residual
0.260605618,0.215167696
0.360764876,0.2181703
0.427302481,0.223439019
0.255665705,0.22542187
-0.139023268,0.226724887
-0.223304234,0.227914598
-0.235704424,0.230520631
-0.214886219,0.231427077
-0.166091975,0.232050259
0.019003543,0.232106912
-0.45260176,0.234315606
0.511559711,0.236095463
-0.109635826,0.23618592
0.62944929,0.236596302
0.250372941,0.236695796
0.635616906,0.238299155
-0.461791172,0.239390403
0.620088464,0.241334703
0.007606397,0.242040031
0.546274579,0.242255782
-0.031544175,0.243543988
-0.067949008,0.246326789
-0.232579172,0.246610053
-0.017002534,0.246794475
0.091053045,0.247522196
0.402552508,0.248026376
-0.03145414,0.248366293
0.661567517,0.250426845
-0.000403258,0.250972326
-0.029978152,0.251840008
-0.084180151,0.251878772
-0.062857873,0.252275343
0.007158962,0.252422185
0.954204438,0.252520715
0.636850429,0.25252298
0.165739124,0.252785219
0.031504548,0.252898525
0.051919495,0.253125136
0.107266684,0.253351748
-0.428240479,0.253986424
0.014317924,0.254265745
0.014920554,0.254314847
-0.538857413,0.254981012
0.1053008,0.254994682
0.028379297,0.25516464
0.254401165,0.25566152
-0.030244366,0.256241045
-0.263831684,0.256637616
0.936509286,0.256917841
-0.00962779,0.256977533
0.24881926,0.25703053
0.616737928,0.25740295
0.02091902,0.257600715
-0.068755525,0.257657368
-0.028580926,0.257770674
-0.489328769,0.257807736
0.057719129,0.25800138
0.027104125,0.258464638
0.696779981,0.258488244
1.009246144,0.258802324
0.648480791,0.25883355
0.245823561,0.259083969
-0.216650473,0.259356955
0.010988786,0.259923484
-0.284196223,0.260546665
0.298950268,0.260896194
-0.340742839,0.261157928
-0.138922453,0.261339806
0.356480257,0.261339806
0.330873361,0.261339806
0.11492859,0.262359558
0.386825438,0.262699475
-0.295437046,0.26298274
0.461674536,0.262990064
0.515204596,0.262990064
0.119767688,0.263152699
-0.305518501,0.263209351
0.211630469,0.263251798
0.527564526,0.263670572
-0.005592939,0.263823148
0.747869643,0.26388942
0.137586297,0.264017207
0.905853276,0.264297737
0.058119589,0.264342409
0.80606311,0.264822201
0.27040683,0.264874547
-0.430045929,0.264997709
0.109837455,0.26553212
0.491975016,0.265645426
0.097588487,0.265758732
-0.056642273,0.266392603
-0.208162575,0.26644495
0.547372612,0.266665178
0.074048289,0.266948443
-0.213319956,0.267387191
-0.025808525,0.267628277
0.124405158,0.267741583
0.586583105,0.26792506
-0.274013954,0.268648029
-0.32497571,0.268931294
0.329094271,0.269114634
0.041132337,0.269611129
-0.227689667,0.270177658
0.742580993,0.2708036
0.404705429,0.271297457
-0.305669723,0.271424021
0.036041202,0.271424021
0.219803316,0.271530781
0.576961684,0.271537327
0.615301984,0.271708873
0.897295405,0.271993705
0.234898069,0.272055697
0.377111269,0.272203092
0.105502429,0.272443773
-0.138360088,0.272569519
0.598789739,0.272831253
0.196588377,0.273010302
0.099756,0.273180261
-0.078516682,0.273250027
0.702894565,0.273315698
0.079693904,0.273406873
0.495400664,0.273419364
-0.015575848,0.273520178
