,local_datetime,recordType,marketIndexDataProviderId,settlementDate,settlementPeriod,marketIndexPrice,marketIndexVolume,activeFlag
0,2017-01-01 00:00:00+00:00,MID,APXMIDP,2017-01-01,1,44.90,505.000,Y
1,2017-01-01 00:30:00+00:00,MID,APXMIDP,2017-01-01,2,47.13,559.150,Y
2,2017-01-01 01:00:00+00:00,MID,APXMIDP,2017-01-01,3,45.62,649.350,Y
3,2017-01-01 01:30:00+00:00,MID,APXMIDP,2017-01-01,4,44.05,712.650,Y
4,2017-01-01 02:00:00+00:00,MID,APXMIDP,2017-01-01,5,44.83,599.150,Y
5,2017-01-01 02:30:00+00:00,MID,APXMIDP,2017-01-01,6,45.51,499.300,Y
6,2017-01-01 03:00:00+00:00,MID,APXMIDP,2017-01-01,7,44.85,474.500,Y
7,2017-01-01 03:30:00+00:00,MID,APXMIDP,2017-01-01,8,42.80,487.000,Y
8,2017-01-01 04:00:00+00:00,MID,APXMIDP,2017-01-01,9,42.33,348.850,Y
9,2017-01-01 04:30:00+00:00,MID,APXMIDP,2017-01-01,10,40.87,262.300,Y
10,2017-01-01 05:00:00+00:00,MID,APXMIDP,2017-01-01,11,41.53,341.500,Y
11,2017-01-01 05:30:00+00:00,MID,APXMIDP,2017-01-01,12,41.89,350.750,Y
12,2017-01-01 06:00:00+00:00,MID,APXMIDP,2017-01-01,13,42.64,447.200,Y
13,2017-01-01 06:30:00+00:00,MID,APXMIDP,2017-01-01,14,42.61,501.000,Y
14,2017-01-01 07:00:00+00:00,MID,APXMIDP,2017-01-01,15,40.78,1157.500,Y
15,2017-01-01 07:30:00+00:00,MID,APXMIDP,2017-01-01,16,39.43,1006.500,Y
16,2017-01-01 08:00:00+00:00,MID,APXMIDP,2017-01-01,17,38.29,1073.000,Y
17,2017-01-01 08:30:00+00:00,MID,APXMIDP,2017-01-01,18,38.99,1069.000,Y
18,2017-01-01 09:00:00+00:00,MID,APXMIDP,2017-01-01,19,42.46,835.000,Y
19,2017-01-01 09:30:00+00:00,MID,APXMIDP,2017-01-01,20,42.53,753.750,Y
20,2017-01-01 10:00:00+00:00,MID,APXMIDP,2017-01-01,21,41.86,653.450,Y
21,2017-01-01 10:30:00+00:00,MID,APXMIDP,2017-01-01,22,41.74,801.900,Y
