,local_datetime,recordType,marketIndexDataProviderId,settlementDate,settlementPeriod,marketIndexPrice,marketIndexVolume,activeFlag
0,2021-01-01 00:00:00+00:00,MID,APXMIDP,2021-01-01,1,68.54,407.300,Y
1,2021-01-01 00:30:00+00:00,MID,APXMIDP,2021-01-01,2,69.82,601.400,Y
2,2021-01-01 01:00:00+00:00,MID,APXMIDP,2021-01-01,3,67.42,608.000,Y
3,2021-01-01 01:30:00+00:00,MID,APXMIDP,2021-01-01,4,65.45,579.350,Y
4,2021-01-01 02:00:00+00:00,MID,APXMIDP,2021-01-01,5,59.44,729.400,Y
5,2021-01-01 02:30:00+00:00,MID,APXMIDP,2021-01-01,6,57.07,744.850,Y
6,2021-01-01 03:00:00+00:00,MID,APXMIDP,2021-01-01,7,50.10,508.200,Y
7,2021-01-01 03:30:00+00:00,MID,APXMIDP,2021-01-01,8,50.98,470.850,Y
8,2021-01-01 04:00:00+00:00,MID,APXMIDP,2021-01-01,9,57.77,440.900,Y
9,2021-01-01 04:30:00+00:00,MID,APXMIDP,2021-01-01,10,53.64,363.500,Y
10,2021-01-01 05:00:00+00:00,MID,APXMIDP,2021-01-01,11,53.42,546.150,Y
11,2021-01-01 05:30:00+00:00,MID,APXMIDP,2021-01-01,12,55.26,547.550,Y
12,2021-01-01 06:00:00+00:00,MID,APXMIDP,2021-01-01,13,57.78,456.250,Y
13,2021-01-01 06:30:00+00:00,MID,APXMIDP,2021-01-01,14,55.16,389.500,Y
14,2021-01-01 07:00:00+00:00,MID,APXMIDP,2021-01-01,15,37.71,416.650,Y
15,2021-01-01 07:30:00+00:00,MID,APXMIDP,2021-01-01,16,36.79,492.500,Y
16,2021-01-01 08:00:00+00:00,MID,APXMIDP,2021-01-01,17,42.52,672.750,Y
17,2021-01-01 08:30:00+00:00,MID,APXMIDP,2021-01-01,18,47.65,571.350,Y
18,2021-01-01 09:00:00+00:00,MID,APXMIDP,2021-01-01,19,41.98,856.000,Y
19,2021-01-01 09:30:00+00:00,MID,APXMIDP,2021-01-01,20,44.08,1094.900,Y
20,2021-01-01 10:00:00+00:00,MID,APXMIDP,2021-01-01,21,49.93,994.400,Y
21,2021-01-01 10:30:00+00:00,MID,APXMIDP,2021-01-01,22,46.79,969.100,Y
