,local_datetime,recordType,marketIndexDataProviderId,settlementDate,settlementPeriod,marketIndexPrice,marketIndexVolume,activeFlag
0,2018-01-01 00:00:00+00:00,MID,APXMIDP,2018-01-01,1,47.27,781.350,Y
1,2018-01-01 00:30:00+00:00,MID,APXMIDP,2018-01-01,2,48.57,655.400,Y
2,2018-01-01 01:00:00+00:00,MID,APXMIDP,2018-01-01,3,52.32,821.500,Y
3,2018-01-01 01:30:00+00:00,MID,APXMIDP,2018-01-01,4,51.18,815.200,Y
4,2018-01-01 02:00:00+00:00,MID,APXMIDP,2018-01-01,5,46.08,709.050,Y
5,2018-01-01 02:30:00+00:00,MID,APXMIDP,2018-01-01,6,46.01,649.600,Y
6,2018-01-01 03:00:00+00:00,MID,APXMIDP,2018-01-01,7,39.24,551.350,Y
7,2018-01-01 03:30:00+00:00,MID,APXMIDP,2018-01-01,8,37.60,620.400,Y
8,2018-01-01 04:00:00+00:00,MID,APXMIDP,2018-01-01,9,36.62,434.650,Y
9,2018-01-01 04:30:00+00:00,MID,APXMIDP,2018-01-01,10,35.65,682.850,Y
10,2018-01-01 05:00:00+00:00,MID,APXMIDP,2018-01-01,11,38.28,632.100,Y
11,2018-01-01 05:30:00+00:00,MID,APXMIDP,2018-01-01,12,40.21,616.950,Y
12,2018-01-01 06:00:00+00:00,MID,APXMIDP,2018-01-01,13,44.55,668.150,Y
13,2018-01-01 06:30:00+00:00,MID,APXMIDP,2018-01-01,14,43.72,813.900,Y
14,2018-01-01 07:00:00+00:00,MID,APXMIDP,2018-01-01,15,47.66,624.350,Y
15,2018-01-01 07:30:00+00:00,MID,APXMIDP,2018-01-01,16,49.47,445.800,Y
16,2018-01-01 08:00:00+00:00,MID,APXMIDP,2018-01-01,17,43.89,590.800,Y
17,2018-01-01 08:30:00+00:00,MID,APXMIDP,2018-01-01,18,47.66,404.500,Y
18,2018-01-01 09:00:00+00:00,MID,APXMIDP,2018-01-01,19,43.31,470.650,Y
19,2018-01-01 09:30:00+00:00,MID,APXMIDP,2018-01-01,20,41.53,570.700,Y
20,2018-01-01 10:00:00+00:00,MID,APXMIDP,2018-01-01,21,45.01,711.800,Y
21,2018-01-01 10:30:00+00:00,MID,APXMIDP,2018-01-01,22,45.04,874.000,Y
22,2018-01-01 11:00:00+00:00,MID,APXMIDP,2018-01-01,23,53.47,622.650,Y
23,2018-01-01 11:30:00+00:00,MID,APXMIDP,2018-01-01,24,59.07,728.000,Y
24,2018-01-01 12:00:00+00:00,MID,APXMIDP,2018-01-01,25,57.29,456.550,Y
25,2018-01-01 12:30:00+00:00,MID,APXMIDP,2018-01-01,26,58.39,477.400,Y
26,2018-01-01 13:00:00+00:00,MID,APXMIDP,2018-01-01,27,56.59,793.000,Y
27,2018-01-01 13:30:00+00:00,MID,APXMIDP,2018-01-01,28,58.24,958.450,Y
28,2018-01-01 14:00:00+00:00,MID,APXMIDP,2018-01-01,29,54.55,1137.650,Y
29,2018-01-01 14:30:00+00:00,MID,APXMIDP,2018-01-01,30,51.25,1256.050,Y
30,2018-01-01 15:00:00+00:00,MID,APXMIDP,2018-01-01,31,57.96,1147.300,Y
31,2018-01-01 15:30:00+00:00,MID,APXMIDP,2018-01-01,32,59.50,1028.500,Y
32,2018-01-01 16:00:00+00:00,MID,APXMIDP,2018-01-01,33,61.51,1034.500,Y
33,2018-01-01 16:30:00+00:00,MID,APXMIDP,2018-01-01,34,63.30,989.950,Y
34,2018-01-01 17:00:00+00:00,MID,APXMIDP,2018-01-01,35,61.70,1201.300,Y
35,2018-01-01 17:30:00+00:00,MID,APXMIDP,2018-01-01,36,60.02,1278.600,Y
36,2018-01-01 18:00:00+00:00,MID,APXMIDP,2018-01-01,37,57.36,1153.850,Y
37,2018-01-01 18:30:00+00:00,MID,APXMIDP,2018-01-01,38,54.29,1259.800,Y
38,2018-01-01 19:00:00+00:00,MID,APXMIDP,2018-01-01,39,44.99,1058.150,Y
39,2018-01-01 19:30:00+00:00,MID,APXMIDP,2018-01-01,40,45.86,1065.000,Y
40,2018-01-01 20:00:00+00:00,MID,APXMIDP,2018-01-01,41,47.70,1145.350,Y
41,2018-01-01 20:30:00+00:00,MID,APXMIDP,2018-01-01,42,44.73,1159.000,Y
42,2018-01-01 21:00:00+00:00,MID,APXMIDP,2018-01-01,43,45.79,1414.800,Y
43,2018-01-01 21:30:00+00:00,MID,APXMIDP,2018-01-01,44,45.55,1429.600,Y
44,2018-01-01 22:00:00+00:00,MID,APXMIDP,2018-01-01,45,44.94,1619.100,Y
45,2018-01-01 22:30:00+00:00,MID,APXMIDP,2018-01-01,46,44.63,1456.500,Y
46,2018-01-01 23:00:00+00:00,MID,APXMIDP,2018-01-01,47,44.13,576.600,Y
47,2018-01-01 23:30:00+00:00,MID,APXMIDP,2018-01-01,48,38.35,454.500,Y
48,2018-01-01 00:00:00+00:00,MID,N2EXMIDP,2018-01-01,1,0.00,0.000,Y
49,2018-01-01 00:30:00+00:00,MID,N2EXMIDP,2018-01-01,2,0.00,0.000,Y
50,2018-01-01 01:00:00+00:00,MID,N2EXMIDP,2018-01-01,3,0.00,0.000,Y
51,2018-01-01 01:30:00+00:00,MID,N2EXMIDP,2018-01-01,4,0.00,0.000,Y
52,2018-01-01 02:00:00+00:00,MID,N2EXMIDP,2018-01-01,5,0.00,0.000,Y
53,2018-01-01 02:30:00+00:00,MID,N2EXMIDP,2018-01-01,6,0.00,0.000,Y
54,2018-01-01 03:00:00+00:00,MID,N2EXMIDP,2018-01-01,7,0.00,0.000,Y
55,2018-01-01 03:30:00+00:00,MID,N2EXMIDP,2018-01-01,8,0.00,0.000,Y
56,2018-01-01 04:00:00+00:00,MID,N2EXMIDP,2018-01-01,9,0.00,0.000,Y
57,2018-01-01 04:30:00+00:00,MID,N2EXMIDP,2018-01-01,10,0.00,0.000,Y
58,2018-01-01 05:00:00+00:00,MID,N2EXMIDP,2018-01-01,11,0.00,0.000,Y
59,2018-01-01 05:30:00+00:00,MID,N2EXMIDP,2018-01-01,12,0.00,0.000,Y
60,2018-01-01 06:00:00+00:00,MID,N2EXMIDP,2018-01-01,13,0.00,0.000,Y
61,2018-01-01 06:30:00+00:00,MID,N2EXMIDP,2018-01-01,14,0.00,0.000,Y
62,2018-01-01 07:00:00+00:00,MID,N2EXMIDP,2018-01-01,15,0.00,0.000,Y
63,2018-01-01 07:30:00+00:00,MID,N2EXMIDP,2018-01-01,16,0.00,0.000,Y
64,2018-01-01 08:00:00+00:00,MID,N2EXMIDP,2018-01-01,17,0.00,0.000,Y
65,2018-01-01 08:30:00+00:00,MID,N2EXMIDP,2018-01-01,18,0.00,0.000,Y
66,2018-01-01 09:00:00+00:00,MID,N2EXMIDP,2018-01-01,19,0.00,0.000,Y
67,2018-01-01 09:30:00+00:00,MID,N2EXMIDP,2018-01-01,20,0.00,0.000,Y
68,2018-01-01 10:00:00+00:00,MID,N2EXMIDP,2018-01-01,21,0.00,0.000,Y
69,2018-01-01 10:30:00+00:00,MID,N2EXMIDP,2018-01-01,22,0.00,0.000,Y
70,2018-01-01 11:00:00+00:00,MID,N2EXMIDP,2018-01-01,23,0.00,0.000,Y
71,2018-01-01 11:30:00+00:00,MID,N2EXMIDP,2018-01-01,24,0.00,0.000,Y
72,2018-01-01 12:00:00+00:00,MID,N2EXMIDP,2018-01-01,25,0.00,0.000,Y
73,2018-01-01 12:30:00+00:00,MID,N2EXMIDP,2018-01-01,26,0.00,0.000,Y
74,2018-01-01 13:00:00+00:00,MID,N2EXMIDP,2018-01-01,27,0.00,0.000,Y
75,2018-01-01 13:30:00+00:00,MID,N2EXMIDP,2018-01-01,28,0.00,0.000,Y
76,2018-01-01 14:00:00+00:00,MID,N2EXMIDP,2018-01-01,29,0.00,0.000,Y
77,2018-01-01 14:30:00+00:00,MID,N2EXMIDP,2018-01-01,30,0.00,0.000,Y
78,2018-01-01 15:00:00+00:00,MID,N2EXMIDP,2018-01-01,31,0.00,0.000,Y
79,2018-01-01 15:30:00+00:00,MID,N2EXMIDP,2018-01-01,32,0.00,0.000,Y
80,2018-01-01 16:00:00+00:00,MID,N2EXMIDP,2018-01-01,33,0.00,0.000,Y
81,2018-01-01 16:30:00+00:00,MID,N2EXMIDP,2018-01-01,34,0.00,0.000,Y
82,2018-01-01 17:00:00+00:00,MID,N2EXMIDP,2018-01-01,35,0.00,0.000,Y
83,2018-01-01 17:30:00+00:00,MID,N2EXMIDP,2018-01-01,36,0.00,0.000,Y
84,2018-01-01 18:00:00+00:00,MID,N2EXMIDP,2018-01-01,37,0.00,0.000,Y
85,2018-01-01 18:30:00+00:00,MID,N2EXMIDP,2018-01-01,38,0.00,0.000,Y
86,2018-01-01 19:00:00+00:00,MID,N2EXMIDP,2018-01-01,39,0.00,0.000,Y
87,2018-01-01 19:30:00+00:00,MID,N2EXMIDP,2018-01-01,40,0.00,0.000,Y
88,2018-01-01 20:00:00+00:00,MID,N2EXMIDP,2018-01-01,41,0.00,0.000,Y
89,2018-01-01 20:30:00+00:00,MID,N2EXMIDP,2018-01-01,42,0.00,0.000,Y
90,2018-01-01 21:00:00+00:00,MID,N2EXMIDP,2018-01-01,43,0.00,0.000,Y
91,2018-01-01 21:30:00+00:00,MID,N2EXMIDP,2018-01-01,44,0.00,0.000,Y
92,2018-01-01 22:00:00+00:00,MID,N2EXMIDP,2018-01-01,45,0.00,0.000,Y
93,2018-01-01 22:30:00+00:00,MID,N2EXMIDP,2018-01-01,46,0.00,0.000,Y
94,2018-01-01 23:00:00+00:00,MID,N2EXMIDP,2018-01-01,47,0.00,0.000,Y
95,2018-01-01 23:30:00+00:00,MID,N2EXMIDP,2018-01-01,48,0.00,0.000,Y
0,2018-01-02 00:00:00+00:00,MID,APXMIDP,2018-01-02,1,39.23,339.700,Y
1,2018-01-02 00:30:00+00:00,MID,APXMIDP,2018-01-02,2,39.59,414.500,Y
2,2018-01-02 01:00:00+00:00,MID,APXMIDP,2018-01-02,3,37.98,422.950,Y
3,2018-01-02 01:30:00+00:00,MID,APXMIDP,2018-01-02,4,37.84,391.500,Y
4,2018-01-02 02:00:00+00:00,MID,APXMIDP,2018-01-02,5,36.36,378.300,Y
5,2018-01-02 02:30:00+00:00,MID,APXMIDP,2018-01-02,6,36.73,425.300,Y
6,2018-01-02 03:00:00+00:00,MID,APXMIDP,2018-01-02,7,40.04,439.000,Y
7,2018-01-02 03:30:00+00:00,MID,APXMIDP,2018-01-02,8,42.98,398.450,Y
8,2018-01-02 04:00:00+00:00,MID,APXMIDP,2018-01-02,9,41.16,420.000,Y
9,2018-01-02 04:30:00+00:00,MID,APXMIDP,2018-01-02,10,42.01,461.650,Y
10,2018-01-02 05:00:00+00:00,MID,APXMIDP,2018-01-02,11,53.24,361.750,Y
11,2018-01-02 05:30:00+00:00,MID,APXMIDP,2018-01-02,12,54.15,390.000,Y
12,2018-01-02 06:00:00+00:00,MID,APXMIDP,2018-01-02,13,57.07,523.400,Y
13,2018-01-02 06:30:00+00:00,MID,APXMIDP,2018-01-02,14,46.97,759.050,Y
14,2018-01-02 07:00:00+00:00,MID,APXMIDP,2018-01-02,15,42.56,636.250,Y
15,2018-01-02 07:30:00+00:00,MID,APXMIDP,2018-01-02,16,47.04,656.500,Y
16,2018-01-02 08:00:00+00:00,MID,APXMIDP,2018-01-02,17,50.67,670.300,Y
17,2018-01-02 08:30:00+00:00,MID,APXMIDP,2018-01-02,18,52.35,688.200,Y
18,2018-01-02 09:00:00+00:00,MID,APXMIDP,2018-01-02,19,49.58,608.550,Y
19,2018-01-02 09:30:00+00:00,MID,APXMIDP,2018-01-02,20,49.21,822.500,Y
20,2018-01-02 10:00:00+00:00,MID,APXMIDP,2018-01-02,21,49.74,841.300,Y
21,2018-01-02 10:30:00+00:00,MID,APXMIDP,2018-01-02,22,50.69,998.200,Y
22,2018-01-02 11:00:00+00:00,MID,APXMIDP,2018-01-02,23,51.08,680.250,Y
23,2018-01-02 11:30:00+00:00,MID,APXMIDP,2018-01-02,24,51.29,655.200,Y
24,2018-01-02 12:00:00+00:00,MID,APXMIDP,2018-01-02,25,50.65,760.500,Y
25,2018-01-02 12:30:00+00:00,MID,APXMIDP,2018-01-02,26,48.95,789.300,Y
26,2018-01-02 13:00:00+00:00,MID,APXMIDP,2018-01-02,27,45.47,838.750,Y
27,2018-01-02 13:30:00+00:00,MID,APXMIDP,2018-01-02,28,44.50,938.800,Y
28,2018-01-02 14:00:00+00:00,MID,APXMIDP,2018-01-02,29,44.95,868.250,Y
29,2018-01-02 14:30:00+00:00,MID,APXMIDP,2018-01-02,30,44.43,994.600,Y
30,2018-01-02 15:00:00+00:00,MID,APXMIDP,2018-01-02,31,52.77,1024.950,Y
31,2018-01-02 15:30:00+00:00,MID,APXMIDP,2018-01-02,32,54.08,848.050,Y
32,2018-01-02 16:00:00+00:00,MID,APXMIDP,2018-01-02,33,52.36,1102.300,Y
33,2018-01-02 16:30:00+00:00,MID,APXMIDP,2018-01-02,34,63.10,944.950,Y
34,2018-01-02 17:30:00+00:00,MID,APXMIDP,2018-01-02,36,71.32,1331.550,Y
35,2018-01-02 18:00:00+00:00,MID,APXMIDP,2018-01-02,37,69.85,1409.950,Y
36,2018-01-02 18:30:00+00:00,MID,APXMIDP,2018-01-02,38,63.56,1303.950,Y
37,2018-01-02 19:00:00+00:00,MID,APXMIDP,2018-01-02,39,58.60,1153.500,Y
38,2018-01-02 19:30:00+00:00,MID,APXMIDP,2018-01-02,40,53.31,979.750,Y
39,2018-01-02 20:00:00+00:00,MID,APXMIDP,2018-01-02,41,52.10,835.250,Y
40,2018-01-02 20:30:00+00:00,MID,APXMIDP,2018-01-02,42,48.35,943.750,Y
41,2018-01-02 21:00:00+00:00,MID,APXMIDP,2018-01-02,43,49.70,1331.150,Y
42,2018-01-02 21:30:00+00:00,MID,APXMIDP,2018-01-02,44,46.55,1249.750,Y
43,2018-01-02 22:00:00+00:00,MID,APXMIDP,2018-01-02,45,46.24,1464.750,Y
44,2018-01-02 22:30:00+00:00,MID,APXMIDP,2018-01-02,46,45.96,2053.600,Y
45,2018-01-02 23:00:00+00:00,MID,APXMIDP,2018-01-02,47,47.32,608.550,Y
46,2018-01-02 23:30:00+00:00,MID,APXMIDP,2018-01-02,48,42.01,516.150,Y
47,2018-01-02 00:00:00+00:00,MID,N2EXMIDP,2018-01-02,1,0.00,0.000,Y
48,2018-01-02 00:30:00+00:00,MID,N2EXMIDP,2018-01-02,2,0.00,0.000,Y
49,2018-01-02 01:00:00+00:00,MID,N2EXMIDP,2018-01-02,3,0.00,0.000,Y
50,2018-01-02 01:30:00+00:00,MID,N2EXMIDP,2018-01-02,4,0.00,0.000,Y
51,2018-01-02 02:00:00+00:00,MID,N2EXMIDP,2018-01-02,5,0.00,0.000,Y
52,2018-01-02 02:30:00+00:00,MID,N2EXMIDP,2018-01-02,6,0.00,0.000,Y
53,2018-01-02 03:00:00+00:00,MID,N2EXMIDP,2018-01-02,7,0.00,0.000,Y
54,2018-01-02 03:30:00+00:00,MID,N2EXMIDP,2018-01-02,8,0.00,0.000,Y
55,2018-01-02 04:00:00+00:00,MID,N2EXMIDP,2018-01-02,9,0.00,0.000,Y
56,2018-01-02 04:30:00+00:00,MID,N2EXMIDP,2018-01-02,10,0.00,0.000,Y
57,2018-01-02 05:00:00+00:00,MID,N2EXMIDP,2018-01-02,11,0.00,0.000,Y
58,2018-01-02 05:30:00+00:00,MID,N2EXMIDP,2018-01-02,12,0.00,0.000,Y
59,2018-01-02 06:00:00+00:00,MID,N2EXMIDP,2018-01-02,13,0.00,0.000,Y
60,2018-01-02 06:30:00+00:00,MID,N2EXMIDP,2018-01-02,14,0.00,0.000,Y
61,2018-01-02 07:00:00+00:00,MID,N2EXMIDP,2018-01-02,15,0.00,0.000,Y
62,2018-01-02 07:30:00+00:00,MID,N2EXMIDP,2018-01-02,16,0.00,0.000,Y
63,2018-01-02 08:00:00+00:00,MID,N2EXMIDP,2018-01-02,17,0.00,0.000,Y
64,2018-01-02 08:30:00+00:00,MID,N2EXMIDP,2018-01-02,18,0.00,0.000,Y
65,2018-01-02 09:00:00+00:00,MID,N2EXMIDP,2018-01-02,19,0.00,0.000,Y
66,2018-01-02 09:30:00+00:00,MID,N2EXMIDP,2018-01-02,20,0.00,0.000,Y
67,2018-01-02 10:00:00+00:00,MID,N2EXMIDP,2018-01-02,21,0.00,0.000,Y
68,2018-01-02 10:30:00+00:00,MID,N2EXMIDP,2018-01-02,22,0.00,0.000,Y
69,2018-01-02 11:00:00+00:00,MID,N2EXMIDP,2018-01-02,23,0.00,0.000,Y
70,2018-01-02 11:30:00+00:00,MID,N2EXMIDP,2018-01-02,24,0.00,0.000,Y
71,2018-01-02 12:00:00+00:00,MID,N2EXMIDP,2018-01-02,25,0.00,0.000,Y
72,2018-01-02 12:30:00+00:00,MID,N2EXMIDP,2018-01-02,26,0.00,0.000,Y
73,2018-01-02 13:00:00+00:00,MID,N2EXMIDP,2018-01-02,27,0.00,0.000,Y
74,2018-01-02 13:30:00+00:00,MID,N2EXMIDP,2018-01-02,28,0.00,0.000,Y
75,2018-01-02 14:00:00+00:00,MID,N2EXMIDP,2018-01-02,29,0.00,0.000,Y
76,2018-01-02 14:30:00+00:00,MID,N2EXMIDP,2018-01-02,30,0.00,0.000,Y
77,2018-01-02 15:00:00+00:00,MID,N2EXMIDP,2018-01-02,31,0.00,0.000,Y
78,2018-01-02 15:30:00+00:00,MID,N2EXMIDP,2018-01-02,32,0.00,0.000,Y
79,2018-01-02 16:00:00+00:00,MID,N2EXMIDP,2018-01-02,33,0.00,0.000,Y
80,2018-01-02 16:30:00+00:00,MID,N2EXMIDP,2018-01-02,34,0.00,0.000,Y
81,2018-01-02 17:00:00+00:00,MID,N2EXMIDP,2018-01-02,35,0.00,0.000,Y
82,2018-01-02 17:30:00+00:00,MID,N2EXMIDP,2018-01-02,36,0.00,0.000,Y
83,2018-01-02 18:00:00+00:00,MID,N2EXMIDP,2018-01-02,37,0.00,0.000,Y
84,2018-01-02 18:30:00+00:00,MID,N2EXMIDP,2018-01-02,38,0.00,0.000,Y
85,2018-01-02 19:00:00+00:00,MID,N2EXMIDP,2018-01-02,39,0.00,0.000,Y
86,2018-01-02 19:30:00+00:00,MID,N2EXMIDP,2018-01-02,40,0.00,0.000,Y
87,2018-01-02 20:00:00+00:00,MID,N2EXMIDP,2018-01-02,41,0.00,0.000,Y
88,2018-01-02 20:30:00+00:00,MID,N2EXMIDP,2018-01-02,42,0.00,0.000,Y
89,2018-01-02 21:00:00+00:00,MID,N2EXMIDP,2018-01-02,43,0.00,0.000,Y
90,2018-01-02 21:30:00+00:00,MID,N2EXMIDP,2018-01-02,44,0.00,0.000,Y
91,2018-01-02 22:00:00+00:00,MID,N2EXMIDP,2018-01-02,45,0.00,0.000,Y
92,2018-01-02 22:30:00+00:00,MID,N2EXMIDP,2018-01-02,46,0.00,0.000,Y
93,2018-01-02 23:00:00+00:00,MID,N2EXMIDP,2018-01-02,47,0.00,0.000,Y
94,2018-01-02 23:30:00+00:00,MID,N2EXMIDP,2018-01-02,48,0.00,0.000,Y
0,2018-01-03 00:00:00+00:00,MID,APXMIDP,2018-01-03,1,44.83,383.050,Y
1,2018-01-03 00:30:00+00:00,MID,APXMIDP,2018-01-03,2,46.65,277.000,Y
2,2018-01-03 01:00:00+00:00,MID,APXMIDP,2018-01-03,3,50.01,449.500,Y
3,2018-01-03 01:30:00+00:00,MID,APXMIDP,2018-01-03,4,48.22,305.500,Y
4,2018-01-03 02:00:00+00:00,MID,APXMIDP,2018-01-03,5,47.50,326.000,Y
5,2018-01-03 02:30:00+00:00,MID,APXMIDP,2018-01-03,6,48.59,498.850,Y
6,2018-01-03 03:00:00+00:00,MID,APXMIDP,2018-01-03,7,46.40,379.550,Y
7,2018-01-03 03:30:00+00:00,MID,APXMIDP,2018-01-03,8,45.36,319.250,Y
8,2018-01-03 04:00:00+00:00,MID,APXMIDP,2018-01-03,9,42.99,319.900,Y
