Solar Market Share,Current_Load,High_Load,Low_Load
0.01,1.0849171599857623,1.0652161697914084,1.2417596311351682
0.02,1.0633391768132088,1.03713446183484,1.2172033091638295
0.03,1.0407229737371755,1.0064879127011603,1.1924147418302335
0.04,1.0162377581235214,0.9710928413546925,1.1669844429194776
0.05,0.9884721019307123,0.9279694354956236,1.1403537454143537
0.06,0.9550459800214831,0.8725097548808526,1.1119281563815042
0.07,0.9120141071312167,0.8028915279889668,1.0803293703983945
0.08,0.8543882502703578,0.7247777191590052,1.0429454901641022
0.09,0.7858161023003647,0.6405298590382381,0.9954647623953706
0.1,0.7130930484975472,0.5452719286604953,0.9353369721042719
0.11,0.6304282462518993,0.4285455499074381,0.8677368189088611
0.12,0.5336453641874199,0.2972963500120021,0.7945344387798373
0.13,0.4254001981219586,0.16053748375039226,0.7102658333574807
0.14,0.29498557510362017,0.03284253138481059,0.6079586834781452
0.15,0.156366042250671,-0.07791963274446552,0.49369174100552754
0.16,0.019180739645699735,-0.1665481480274555,0.3675489999842189
0.17,-0.10654325053511747,-0.24007396803857597,0.24723069185557453
0.18,-0.21773852639054395,-0.30803169210000697,0.13199305477689066
0.19,-0.32256841475655906,-0.3670878350568254,0.028515075845487063
0.2,-0.4200684154572778,-0.41398931334613476,-0.0603419075480503
0.21,-0.5134977936137012,-0.45036779808290855,-0.13777023593077095
0.22,-0.5992263684184379,-0.47838166074956406,-0.21029411277407048
0.23,-0.6716456208976611,-0.4997380070709529,-0.27504505213924046
0.24,-0.7366542997884787,-0.5142399524800738,-0.33294690206093147
0.25,-0.7923734671111364,-0.5249947230988788,-0.3832267131304188
