Solar Market Share,Nuclear MS 0%,Nuclear MS 10%,Nuclear MS 20%,Nuclear MS 30%,Nuclear MS 40%
0.01,1.0420503222720199,1.0493821456204568,1.0622087844067591,1.0910208503870509,1.1746197459547139
0.02,1.0285485560320422,1.033663584683602,1.0430762937257434,1.0653853319237108,1.1306364191045901
0.03,1.0152169830846614,1.0180157702167527,1.0236597909996976,1.038156558130412,1.0790028456634573
0.04,1.0020383107833242,1.0023281051336894,1.0035419712068696,1.0077746159228362,1.0128081674403524
0.05,0.988898731779913,0.9862961948991557,0.9818511068445018,0.9713401114865151,0.9270982724447788
0.06,0.9755307750289829,0.9692986705195029,0.9569498391637092,0.9236002078461173,0.831922274214683
0.07,0.9614372943936192,0.9502260031986733,0.9259729115570196,0.857473367999024,0.7277469817656176
0.08,0.9457905696677659,0.9272411755310547,0.8841228530522462,0.7785132728781948,0.6100178782329795
0.09,0.9272972304434558,0.897437508932466,0.8250554083831633,0.6922137441394394,0.4732428418743013
0.1,0.904013669999566,0.8563293041394443,0.7513183837812619,0.5874702163830711,0.3272126672852265
0.11,0.8730852467768802,0.7988923638777714,0.6671479944930194,0.4662356625082406,0.17260513467335062
0.12,0.830360788380698,0.7266553025752474,0.5676873853575939,0.3292116354574436,0.023193826597477273
0.13,0.7729776578454837,0.641767217770525,0.453972601051675,0.17826800968104617,-0.09248738573104395
0.14,0.7007950007906368,0.5454906329218302,0.3231565128417651,0.025404446590848836,-0.18058810103082074
0.15,0.6162933765386186,0.4365904456268998,0.18493150210252618,-0.10659770290454376,-0.25326224949126075
0.16,0.521751380356737,0.31467537191404094,0.045539975907556214,-0.2222637869358878,-0.31027695103884184
0.17,0.41847034588486937,0.18965634621428573,-0.08358906369764084,-0.3331066918810102,-0.34708409011818453
0.18,0.3070159028451554,0.0652063020358614,-0.19982314721231692,-0.4354031222870418,-0.3738835506536879
0.19,0.19389042238477508,-0.054059665958514656,-0.3174964788633247,-0.5216113806573169,-0.3904511738797012
0.2,0.0814477807592713,-0.1659951922979028,-0.4316448117127257,-0.5951274058988566,-0.3983701394562733
0.21,-0.026083987930447614,-0.27676822116738237,-0.5401260395877854,-0.6573977924191157,-0.40050172875494966
0.22,-0.13237397425050942,-0.38851124079856897,-0.6375700837489219,-0.7069589681523082,-0.3990254819747489
0.23,-0.23596855154622906,-0.4957199866537812,-0.7282426990320364,-0.7466091053836165,-0.3947469549311706
0.24,-0.338371998859837,-0.5993667958408914,-0.8117691588968549,-0.7766731234282416,-0.38734597991047937
0.25,-0.4404846205973462,-0.6964738277155086,-0.8856943583260354,-0.7985993907438304,-0.3795814387704604
