Solar Market Share,STS 0%,STS 10%,STS 20%,STS 30%,STS 40%
0.01,1.0622087844067591,1.0554993536177173,1.047495502421089,1.0380456434631509,1.0269742739929397
0.02,1.0430762937257434,1.039422448138442,1.0338564136536974,1.0261355381645294,1.015975448580048
0.03,1.0236597909996976,1.02312149253124,1.0200029462721065,1.013951693756741,1.0045436898521174
0.04,1.0035419712068696,1.0063257931684455,1.0057531204589893,1.0013483540039645,0.9925104995883106
0.05,0.9818511068445018,0.9884772732113571,0.9907450552806024,0.9880614739264512,0.9796073348202683
0.06,0.9569498391637092,0.9685382386712426,0.9743201899983543,0.9736363631206377,0.9654108274412162
0.07,0.9259729115570196,0.9447120213842456,0.9553568766889239,0.9573266617475407,0.9492683782631455
0.08,0.8841228530522462,0.9140315501169634,0.9320322602365432,0.9379536838250039,0.9301980344754756
0.09,0.8250554083831633,0.8717411318180489,0.9014748980084353,0.9137091008459047,0.9067543259075825
0.1,0.7513183837812619,0.8141233016858228,0.8595172623459365,0.8818726868132373,0.8768481581055245
0.11,0.6671479944930194,0.7481782021746872,0.8053587440781798,0.8388650544065165,0.8375028257429638
0.12,0.5676873853575939,0.6716974159541741,0.7454435495514772,0.7858001842747774,0.7849117098289632
0.13,0.453972601051675,0.5827826598918515,0.6765024824509961,0.7269601020975868,0.7199089119252061
0.14,0.3231565128417651,0.4815268231705892,0.596491490807119,0.6590283631843001,0.6443344048656372
0.15,0.18493150210252618,0.36663030967235744,0.5056773741272507,0.5800045014168211,0.5540685452841587
0.16,0.045539975907556214,0.2493417144101429,0.4033606644716026,0.48968833714519433,0.4461657445915592
0.17,-0.08358906369764084,0.1316932996942201,0.3002487078355787,0.38657386077932254,0.318740443779959
0.18,-0.19982314721231692,0.021402247698386598,0.19721884696410638,0.27952832361007607,0.1693904885050778
0.19,-0.3174964788633247,-0.0756979465007872,0.09770572807932786,0.17100844793887815,0.0020159579611150258
0.2,-0.4316448117127257,-0.16974291251563287,0.009803808025978251,0.05868749336583281,-0.17632913802693048
0.21,-0.5401260395877854,-0.26132954678196846,-0.07160631633519403,-0.04971514875633178,-0.3652247326651655
0.22,-0.6375700837489219,-0.3519166473283503,-0.14812533593822855,-0.152473040415726,-0.5629563439924978
0.23,-0.7282426990320364,-0.4329973603370325,-0.22252078717695223,-0.25188789982079307,-0.7633716852065037
0.24,-0.8117691588968549,-0.5045907618737651,-0.29568535193387907,-0.35062193021178834,-0.9592225774047001
0.25,-0.8856943583260354,-0.5716253634328388,-0.3627614387219308,-0.4481079542911274,-1.1491862402228645
