Solar Market Share,Wind MS 0%,Wind MS 10%,Wind MS 20%,Wind MS 30%,Wind MS 40%
0.01,1.0240044456152932,1.0371459755268237,1.0622087844067591,1.1448706885704214,1.3661086236279825
0.02,1.0113063395524227,1.0219966421374054,1.0430762937257434,1.1137313958826298,1.265297449853089
0.03,0.9989768247490953,1.0071749053399413,1.0236597909996976,1.079054588039926,1.1538001124408175
0.04,0.9869405923820992,0.9925963278715277,1.0035419712068696,1.0381610239372638,1.0324704568834735
0.05,0.9749679909377544,0.9779452004740093,0.9818511068445018,0.9868022305259194,0.9125166503801931
0.06,0.9626003743122036,0.9625355214488814,0.9569498391637092,0.9198471981856575,0.7967890047523157
0.07,0.9490521373339333,0.9451196727542811,0.9259729115570196,0.8432541200209714,0.6875755806198665
0.08,0.9330811348725532,0.9236225557997146,0.8841228530522462,0.7635802862858654,0.5760586980600967
0.09,0.9128137427291897,0.894761681925787,0.8250554083831633,0.6808862798254198,0.4661007492761491
0.1,0.8855005758640486,0.8534780013028883,0.7513183837812619,0.5877657335230444,0.3599278134804845
0.11,0.8471593456253893,0.7937860783596956,0.6671479944930194,0.4818502029883715,0.2578072323347946
0.12,0.7930962695627358,0.7148466318217315,0.5676873853575939,0.3660750438712214,0.16018526959781218
0.13,0.7233241497346986,0.6170059169085711,0.453972601051675,0.22668996489659882,0.0755705882158957
0.14,0.6362540234816074,0.502792029870177,0.3231565128417651,0.08904957646845317,0.009352748864965624
0.15,0.5299223657006601,0.3790906815594408,0.18493150210252618,-0.040713126240667655,-0.04299596439656454
0.16,0.4141711295697936,0.255078117254889,0.045539975907556214,-0.15029836599681926,-0.07796641583648513
0.17,0.3054169879129369,0.13543827742850686,-0.08358906369764084,-0.23865870165181757,-0.10118314263525259
0.18,0.20035846189982767,0.01663413107340216,-0.19982314721231692,-0.31709572671245234,-0.11686595645617892
0.19,0.092864988383272,-0.10286893200415653,-0.3174964788633247,-0.38493386130413537,-0.12777351527657768
0.2,-0.0166630400437741,-0.2180598054346935,-0.4316448117127257,-0.4435035849470553,-0.13537660453689884
0.21,-0.12706662471505434,-0.3341577002299989,-0.5401260395877854,-0.4904182944069082,-0.1392829078952794
0.22,-0.23675421815727468,-0.4469190533610516,-0.6375700837489219,-0.5257949341992973,-0.14040564837782227
0.23,-0.34254154953127164,-0.555914041697213,-0.7282426990320364,-0.552241341240843,-0.13998917284604293
0.24,-0.4423046398786876,-0.659742486199368,-0.8117691588968549,-0.5695387691610291,-0.1381654950867296
0.25,-0.5377095728074719,-0.760056674612161,-0.8856943583260354,-0.58153441395394,-0.13612384007798983
